TransactionID,CustomerID,CustomerName,PurchaseDate,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod,City
T0028,C004,Rahul Sharma,2026-01-16,Clothing,T-Shirt,2,200,400,Credit Card,Bengaluru
T0029,C004,Rahul Sharma,2026-01-29,Grocery,Rice,1,20,20,Credit Card,Bengaluru
T0030,C004,Rahul Sharma,2026-05-18,Electronics,Keyboard,5,20,100,UPI,Bengaluru
T0031,C004,Rahul Sharma,2026-02-23,Home,Mixer,2,75,150,Debit Card,Bengaluru
T0032,C004,Rahul Sharma,2026-06-04,Grocery,Tea,1,30,30,Cash,Bengaluru
T0033,C005,Arjun Sharma,2026-04-30,Beauty,Shampoo,3,30,90,Credit Card,Hyderabad
T0034,C005,Arjun Sharma,2026-01-27,Grocery,Tea,4,40,160,UPI,Hyderabad
T0035,C005,Arjun Sharma,2026-02-22,Home,Mixer,2,300,600,UPI,Hyderabad
T0036,C005,Arjun Sharma,2026-05-16,Grocery,Rice,3,300,900,Debit Card,Hyderabad
T0037,C005,Arjun Sharma,2026-02-12,Grocery,Rice,5,300,1500,Debit Card,Hyderabad
T0038,C005,Arjun Sharma,2026-06-12,Clothing,T-Shirt,2,150,300,Credit Card,Hyderabad
T0039,C005,Arjun Sharma,2026-02-21,Home,Mixer,3,20,60,UPI,Hyderabad
T0040,C005,Arjun Sharma,2026-03-13,Beauty,Shampoo,2,500,1000,Debit Card,Hyderabad
T0041,C006,Rohan Sharma,2026-04-25,Grocery,Tea,1,50,50,UPI,Chennai
T0042,C006,Rohan Sharma,2026-02-28,Beauty,Face Wash,3,50,150,Cash,Chennai
T0043,C006,Rohan Sharma,2026-06-09,Home,Bottle,4,100,400,UPI,Chennai
T0044,C006,Rohan Sharma,2026-06-19,Electronics,Keyboard,2,200,400,Credit Card,Chennai
T0045,C006,Rohan Sharma,2026-04-22,Grocery,Rice,4,200,800,Cash,Chennai
T0046,C006,Rohan Sharma,2026-01-22,Clothing,T-Shirt,2,20,40,Credit Card,Chennai
T0047,C006,Rohan Sharma,2026-06-01,Beauty,Face Wash,5,500,2500,Cash,Chennai
T0048,C006,Rohan Sharma,2026-06-18,Grocery,Rice,5,300,1500,Credit Card,Chennai
T0049,C007,Priya Sharma,2026-01-06,Electronics,Headphones,1,300,300,Credit Card,Kolkata
T0050,C007,Priya Sharma,2026-04-22,Clothing,T-Shirt,1,75,75,Credit Card,Kolkata
T0051,C007,Priya Sharma,2026-03-16,Home,Bottle,5,100,500,Debit Card,Kolkata
T0052,C007,Priya Sharma,2026-05-20,Beauty,Face Wash,1,100,100,Cash,Kolkata
T0053,C007,Priya Sharma,2026-06-19,Home,Mixer,5,40,200,Credit Card,Kolkata
T0054,C007,Priya Sharma,2026-05-15,Home,Bottle,4,40,160,UPI,Kolkata
T0055,C007,Priya Sharma,2026-02-08,Clothing,T-Shirt,4,500,2000,UPI,Kolkata
T0056,C007,Priya Sharma,2026-05-23,Electronics,Keyboard,5,300,1500,Cash,Kolkata
T0057,C008,Sneha Sharma,2026-01-28,Home,Bottle,2,50,100,Debit Card,Ahmedabad
T0058,C008,Sneha Sharma,2026-01-11,Electronics,Headphones,4,300,1200,UPI,Ahmedabad
T0059,C008,Sneha Sharma,2026-01-17,Beauty,Shampoo,5,300,1500,Credit Card,Ahmedabad
T0060,C008,Sneha Sharma,2026-06-27,Grocery,Tea,5,300,1500,Cash,Ahmedabad
T0061,C008,Sneha Sharma,2026-05-10,Clothing,Jeans,5,50,250,Cash,Ahmedabad
T0062,C008,Sneha Sharma,2026-02-05,Beauty,Face Wash,4,200,800,Debit Card,Ahmedabad
T0063,C008,Sneha Sharma,2026-01-19,Clothing,Jeans,1,50,50,Debit Card,Ahmedabad
T0064,C008,Sneha Sharma,2026-02-01,Clothing,Jeans,2,75,150,Credit Card,Ahmedabad
T0065,C009,Ananya Sharma,2026-04-30,Clothing,T-Shirt,4,200,800,Credit Card,Surat
T0066,C009,Ananya Sharma,2026-06-20,Clothing,T-Shirt,4,300,1200,Cash,Surat
T0067,C009,Ananya Sharma,2026-03-28,Beauty,Face Wash,3,100,300,UPI,Surat
T0068,C009,Ananya Sharma,2026-04-04,Electronics,Keyboard,5,200,1000,Cash,Surat
T0069,C009,Ananya Sharma,2026-06-30,Electronics,Keyboard,3,300,900,Debit Card,Surat
T0070,C009,Ananya Sharma,2026-05-12,Electronics,Mouse,2,30,60,UPI,Surat
T0071,C009,Ananya Sharma,2026-03-09,Grocery,Rice,2,75,150,Credit Card,Surat
T0072,C009,Ananya Sharma,2026-04-19,Grocery,Tea,2,300,600,Cash,Surat
T0073,C010,Ayesha Sharma,2026-06-29,Grocery,Rice,3,20,60,Credit Card,Jaipur
T0074,C010,Ayesha Sharma,2026-04-19,Electronics,Keyboard,1,30,30,Debit Card,Jaipur
T0075,C010,Ayesha Sharma,2026-01-22,Home,Bottle,1,75,75,UPI,Jaipur
T0076,C010,Ayesha Sharma,2026-04-27,Electronics,Keyboard,5,150,750,Debit Card,Jaipur
T0077,C010,Ayesha Sharma,2026-06-09,Clothing,T-Shirt,5,50,250,UPI,Jaipur
T0078,C010,Ayesha Sharma,2026-02-11,Grocery,Rice,2,50,100,Debit Card,Jaipur
T0079,C010,Ayesha Sharma,2026-06-10,Grocery,Rice,3,200,600,Credit Card,Jaipur
T0080,C010,Ayesha Sharma,2026-03-11,Grocery,Rice,3,20,60,UPI,Jaipur
T0081,C011,Neha Sharma,2026-01-05,Home,Bottle,5,200,1000,Credit Card,Mumbai
T0082,C011,Neha Sharma,2026-04-25,Electronics,Headphones,4,200,800,Cash,Mumbai
T0083,C011,Neha Sharma,2026-05-10,Grocery,Rice,2,100,200,Credit Card,Mumbai
T0084,C011,Neha Sharma,2026-06-30,Clothing,Jeans,3,20,60,Credit Card,Mumbai
T0085,C011,Neha Sharma,2026-01-04,Electronics,Headphones,3,150,450,Credit Card,Mumbai
T0086,C011,Neha Sharma,2026-01-15,Electronics,Headphones,4,300,1200,Debit Card,Mumbai
T0087,C011,Neha Sharma,2026-06-03,Clothing,Jeans,1,200,200,Credit Card,Mumbai
T0088,C011,Neha Sharma,2026-02-10,Grocery,Tea,1,75,75,Debit Card,Mumbai
T0089,C012,Karan Sharma,2026-03-26,Home,Mixer,2,20,40,Debit Card,Pune
T0090,C012,Karan Sharma,2026-02-25,Grocery,Rice,1,100,100,Cash,Pune
T0091,C012,Karan Sharma,2026-01-22,Beauty,Shampoo,5,50,250,Credit Card,Pune
T0092,C012,Karan Sharma,2026-05-10,Electronics,Mouse,3,30,90,Credit Card,Pune
T0093,C012,Karan Sharma,2026-04-13,Home,Bottle,4,20,80,Debit Card,Pune
T0094,C012,Karan Sharma,2026-03-19,Clothing,T-Shirt,5,300,1500,Credit Card,Pune
T0095,C012,Karan Sharma,2026-06-18,Home,Mixer,3,200,600,Credit Card,Pune
T0096,C012,Karan Sharma,2026-03-14,Home,Bottle,1,300,300,Cash,Pune
T0097,C013,Ishita Sharma,2026-06-29,Home,Bottle,5,300,1500,UPI,Delhi
T0098,C013,Ishita Sharma,2026-06-25,Home,Bottle,1,20,20,UPI,Delhi
T0099,C013,Ishita Sharma,2026-02-04,Grocery,Rice,4,200,800,UPI,Delhi
T0100,C013,Ishita Sharma,2026-06-10,Electronics,Headphones,5,50,250,Cash,Delhi
T0101,C013,Ishita Sharma,2026-03-09,Electronics,Keyboard,1,300,300,UPI,Delhi
T0102,C013,Ishita Sharma,2026-06-18,Home,Bottle,4,75,300,UPI,Delhi
T0103,C013,Ishita Sharma,2026-03-09,Clothing,T-Shirt,2,200,400,Cash,Delhi
T0104,C013,Ishita Sharma,2026-04-08,Electronics,Keyboard,3,20,60,Credit Card,Delhi
T0105,C014,Meera Sharma,2026-01-20,Home,Bottle,3,75,225,Debit Card,Bengaluru
T0106,C014,Meera Sharma,2026-06-09,Home,Bottle,1,200,200,UPI,Bengaluru
T0107,C014,Meera Sharma,2026-05-05,Grocery,Rice,2,200,400,Debit Card,Bengaluru
T0108,C014,Meera Sharma,2026-05-13,Grocery,Tea,4,200,800,UPI,Bengaluru
T0109,C014,Meera Sharma,2026-05-21,Clothing,Jeans,1,200,200,UPI,Bengaluru
T0110,C014,Meera Sharma,2026-03-16,Beauty,Face Wash,5,200,1000,Debit Card,Bengaluru
T0111,C014,Meera Sharma,2026-04-10,Clothing,T-Shirt,1,500,500,UPI,Bengaluru
T0112,C014,Meera Sharma,2026-02-06,Home,Mixer,3,40,120,Debit Card,Bengaluru
T0113,C015,Kabir Sharma,2026-01-29,Grocery,Rice,4,200,800,Cash,Hyderabad
T0114,C015,Kabir Sharma,2026-01-07,Clothing,T-Shirt,4,200,800,Cash,Hyderabad
T0115,C015,Kabir Sharma,2026-03-19,Clothing,Jeans,3,150,450,Debit Card,Hyderabad
T0116,C015,Kabir Sharma,2026-01-31,Grocery,Rice,3,100,300,Cash,Hyderabad
T0117,C015,Kabir Sharma,2026-01-31,Clothing,T-Shirt,3,75,225,Debit Card,Hyderabad
T0118,C015,Kabir Sharma,2026-01-17,Beauty,Shampoo,5,30,150,Debit Card,Hyderabad
T0119,C015,Kabir Sharma,2026-04-20,Grocery,Rice,3,30,90,UPI,Hyderabad
T0120,C015,Kabir Sharma,2026-06-19,Grocery,Rice,2,75,150,Cash,Hyderabad
T0121,C016,Sanya Sharma,2026-05-11,Grocery,Rice,3,150,450,UPI,Chennai
T0122,C016,Sanya Sharma,2026-06-11,Beauty,Face Wash,1,20,20,Cash,Chennai
T0123,C016,Sanya Sharma,2026-04-26,Home,Bottle,3,200,600,UPI,Chennai
T0124,C016,Sanya Sharma,2026-05-21,Clothing,T-Shirt,4,150,600,Debit Card,Chennai
T0125,C016,Sanya Sharma,2026-03-14,Grocery,Tea,3,150,450,Credit Card,Chennai
T0126,C016,Sanya Sharma,2026-03-19,Beauty,Shampoo,1,40,40,Credit Card,Chennai
T0127,C016,Sanya Sharma,2026-01-20,Clothing,Jeans,5,50,250,Cash,Chennai
T0128,C016,Sanya Sharma,2026-03-27,Beauty,Shampoo,2,300,600,Credit Card,Chennai
T0129,C017,Riya Sharma,2026-03-04,Electronics,Mouse,3,300,900,UPI,Kolkata
T0130,C017,Riya Sharma,2026-03-23,Clothing,Jeans,3,500,1500,Credit Card,Kolkata
T0131,C017,Riya Sharma,2026-01-06,Beauty,Shampoo,4,300,1200,Credit Card,Kolkata
T0132,C017,Riya Sharma,2026-04-07,Grocery,Tea,1,200,200,Debit Card,Kolkata
T0133,C017,Riya Sharma,2026-05-28,Grocery,Rice,5,300,1500,Credit Card,Kolkata
T0134,C017,Riya Sharma,2026-01-24,Grocery,Rice,4,150,600,Cash,Kolkata
T0135,C017,Riya Sharma,2026-04-21,Grocery,Rice,2,20,40,Cash,Kolkata
T0136,C017,Riya Sharma,2026-05-02,Home,Mixer,1,30,30,Cash,Kolkata
T0137,C018,Aditi Sharma,2026-05-16,Beauty,Shampoo,2,30,60,Credit Card,Ahmedabad
T0138,C018,Aditi Sharma,2026-02-09,Clothing,T-Shirt,4,30,120,UPI,Ahmedabad
T0139,C018,Aditi Sharma,2026-01-01,Clothing,T-Shirt,5,20,100,Debit Card,Ahmedabad
T0140,C018,Aditi Sharma,2026-02-02,Grocery,Tea,1,30,30,UPI,Ahmedabad
T0141,C018,Aditi Sharma,2026-03-18,Home,Bottle,4,75,300,Credit Card,Ahmedabad
T0142,C018,Aditi Sharma,2026-06-03,Electronics,Mouse,5,75,375,Cash,Ahmedabad
T0143,C018,Aditi Sharma,2026-03-13,Grocery,Rice,4,300,1200,Credit Card,Ahmedabad
T0144,C018,Aditi Sharma,2026-05-21,Clothing,T-Shirt,4,75,300,UPI,Ahmedabad
T0145,C019,Yash Sharma,2026-01-06,Clothing,Jeans,4,30,120,Debit Card,Surat
T0146,C019,Yash Sharma,2026-02-28,Beauty,Shampoo,2,200,400,UPI,Surat
T0147,C019,Yash Sharma,2026-06-28,Grocery,Tea,3,150,450,Credit Card,Surat
T0148,C019,Yash Sharma,2026-01-02,Grocery,Rice,2,200,400,Credit Card,Surat
T0149,C019,Yash Sharma,2026-03-21,Clothing,T-Shirt,4,50,200,Debit Card,Surat
T0150,C019,Yash Sharma,2026-03-17,Electronics,Headphones,4,500,2000,Credit Card,Surat
T0151,C019,Yash Sharma,2026-02-27,Beauty,Shampoo,1,500,500,Credit Card,Surat
T0152,C019,Yash Sharma,2026-04-11,Electronics,Mouse,1,500,500,Credit Card,Surat
T0153,C020,Nikhil Sharma,2026-04-17,Electronics,Headphones,1,40,40,Cash,Jaipur
T0154,C020,Nikhil Sharma,2026-04-26,Grocery,Rice,1,40,40,Debit Card,Jaipur
T0155,C020,Nikhil Sharma,2026-02-18,Clothing,Jeans,1,75,75,Cash,Jaipur
T0156,C020,Nikhil Sharma,2026-04-06,Grocery,Tea,2,30,60,UPI,Jaipur
T0157,C020,Nikhil Sharma,2026-01-21,Grocery,Rice,3,150,450,UPI,Jaipur
T0158,C020,Nikhil Sharma,2026-05-24,Clothing,Jeans,3,75,225,Cash,Jaipur
T0159,C020,Nikhil Sharma,2026-01-23,Electronics,Headphones,4,50,200,Debit Card,Jaipur
T0160,C020,Nikhil Sharma,2026-05-19,Beauty,Face Wash,3,100,300,Cash,Jaipur
T0161,C021,Aarav Patel,2025-02-01,Beauty,Face Wash,4,20,80,Cash,Mumbai
T0162,C021,Aarav Patel,2025-02-05,Beauty,Face Wash,1,75,75,Credit Card,Mumbai
T0163,C021,Aarav Patel,2025-03-06,Home,Mixer,3,75,225,Debit Card,Mumbai
T0164,C021,Aarav Patel,2025-02-14,Grocery,Tea,3,75,225,UPI,Mumbai
T0165,C021,Aarav Patel,2025-03-08,Electronics,Mouse,1,200,200,Cash,Mumbai
T0166,C021,Aarav Patel,2026-01-31,Grocery,Tea,4,40,160,Cash,Mumbai
T0167,C022,Vivaan Patel,2025-07-07,Electronics,Headphones,3,40,120,Credit Card,Pune
T0168,C022,Vivaan Patel,2025-12-02,Grocery,Tea,3,500,1500,UPI,Pune
T0169,C022,Vivaan Patel,2026-06-09,Clothing,Jeans,2,50,100,Cash,Pune
T0170,C022,Vivaan Patel,2025-03-08,Electronics,Keyboard,5,300,1500,Debit Card,Pune
T0171,C022,Vivaan Patel,2025-06-14,Beauty,Face Wash,1,75,75,UPI,Pune
T0172,C022,Vivaan Patel,2025-08-02,Electronics,Keyboard,4,200,800,Credit Card,Pune
T0173,C023,Aditya Patel,2025-08-28,Clothing,Jeans,4,500,2000,Credit Card,Delhi
T0174,C023,Aditya Patel,2025-05-05,Grocery,Tea,3,500,1500,Debit Card,Delhi
T0175,C023,Aditya Patel,2026-01-17,Grocery,Tea,2,200,400,Credit Card,Delhi
T0176,C023,Aditya Patel,2025-07-10,Clothing,T-Shirt,2,75,150,Credit Card,Delhi
T0177,C023,Aditya Patel,2025-12-01,Electronics,Keyboard,3,50,150,Credit Card,Delhi
T0178,C023,Aditya Patel,2025-04-13,Beauty,Face Wash,1,20,20,Cash,Delhi
T0179,C024,Rahul Patel,2025-08-25,Beauty,Shampoo,1,75,75,Credit Card,Bengaluru
T0180,C024,Rahul Patel,2025-05-03,Electronics,Mouse,5,500,2500,Credit Card,Bengaluru
T0181,C024,Rahul Patel,2025-03-18,Grocery,Rice,4,500,2000,Debit Card,Bengaluru
T0182,C024,Rahul Patel,2025-01-07,Electronics,Headphones,5,500,2500,Debit Card,Bengaluru
T0183,C024,Rahul Patel,2025-08-11,Electronics,Keyboard,3,40,120,UPI,Bengaluru
T0184,C024,Rahul Patel,2025-07-28,Grocery,Rice,5,50,250,UPI,Bengaluru
T0185,C025,Arjun Patel,2025-12-02,Beauty,Shampoo,2,500,1000,Debit Card,Hyderabad
T0186,C025,Arjun Patel,2025-03-21,Clothing,T-Shirt,4,300,1200,Cash,Hyderabad
T0187,C025,Arjun Patel,2025-03-06,Beauty,Face Wash,4,300,1200,Credit Card,Hyderabad
T0188,C025,Arjun Patel,2026-07-01,Electronics,Headphones,2,150,300,Debit Card,Hyderabad
T0189,C025,Arjun Patel,2026-02-24,Grocery,Tea,4,20,80,Debit Card,Hyderabad
T0190,C025,Arjun Patel,2026-01-01,Beauty,Shampoo,1,100,100,Credit Card,Hyderabad
T0191,C026,Rohan Patel,2026-02-05,Beauty,Face Wash,1,150,150,Credit Card,Chennai
T0192,C026,Rohan Patel,2026-03-10,Electronics,Mouse,4,500,2000,Debit Card,Chennai
T0193,C026,Rohan Patel,2026-04-17,Clothing,T-Shirt,1,20,20,Credit Card,Chennai
T0194,C026,Rohan Patel,2026-02-11,Electronics,Headphones,5,100,500,Credit Card,Chennai
T0195,C026,Rohan Patel,2025-05-30,Grocery,Tea,2,300,600,Credit Card,Chennai
T0196,C026,Rohan Patel,2025-03-10,Electronics,Keyboard,4,50,200,Debit Card,Chennai
T0197,C027,Priya Patel,2025-05-10,Electronics,Keyboard,3,20,60,Cash,Kolkata
T0198,C027,Priya Patel,2025-03-30,Home,Bottle,2,500,1000,Cash,Kolkata
T0199,C027,Priya Patel,2025-07-20,Beauty,Face Wash,5,50,250,UPI,Kolkata
T0200,C027,Priya Patel,2026-02-14,Home,Bottle,4,100,400,UPI,Kolkata
T0201,C027,Priya Patel,2025-06-03,Clothing,T-Shirt,1,300,300,UPI,Kolkata
T0202,C027,Priya Patel,2025-11-28,Electronics,Keyboard,5,200,1000,Debit Card,Kolkata
T0203,C028,Sneha Patel,2026-03-07,Grocery,Rice,4,150,600,Debit Card,Ahmedabad
T0204,C028,Sneha Patel,2026-04-03,Home,Mixer,2,20,40,UPI,Ahmedabad
T0205,C028,Sneha Patel,2026-05-17,Beauty,Face Wash,4,500,2000,Cash,Ahmedabad
T0206,C028,Sneha Patel,2025-07-03,Beauty,Shampoo,1,30,30,Credit Card,Ahmedabad
T0207,C028,Sneha Patel,2026-01-03,Beauty,Shampoo,1,200,200,UPI,Ahmedabad
T0208,C028,Sneha Patel,2025-02-11,Clothing,T-Shirt,3,300,900,UPI,Ahmedabad
T0209,C029,Ananya Patel,2025-02-25,Home,Mixer,2,20,40,UPI,Surat
T0210,C029,Ananya Patel,2025-04-23,Clothing,T-Shirt,4,75,300,Credit Card,Surat
T0211,C029,Ananya Patel,2025-08-15,Electronics,Keyboard,5,75,375,Credit Card,Surat
T0212,C029,Ananya Patel,2025-11-28,Home,Mixer,4,40,160,Debit Card,Surat
T0213,C029,Ananya Patel,2026-05-30,Beauty,Face Wash,5,75,375,Credit Card,Surat
T0214,C029,Ananya Patel,2025-11-23,Grocery,Rice,2,40,80,Cash,Surat
T0215,C030,Ayesha Patel,2025-06-15,Grocery,Tea,4,40,160,Debit Card,Jaipur
T0216,C030,Ayesha Patel,2025-04-28,Home,Bottle,3,200,600,UPI,Jaipur
T0217,C030,Ayesha Patel,2025-09-16,Home,Mixer,3,75,225,Cash,Jaipur
T0218,C030,Ayesha Patel,2026-01-13,Home,Bottle,3,100,300,UPI,Jaipur
T0219,C030,Ayesha Patel,2026-03-29,Clothing,T-Shirt,5,20,100,Debit Card,Jaipur
T0220,C030,Ayesha Patel,2026-06-13,Grocery,Tea,5,100,500,UPI,Jaipur
T0221,C031,Neha Patel,2025-02-04,Clothing,T-Shirt,3,500,1500,Cash,Mumbai
T0222,C031,Neha Patel,2026-03-04,Home,Mixer,1,40,40,Cash,Mumbai
T0223,C031,Neha Patel,2025-08-21,Home,Bottle,1,20,20,UPI,Mumbai
T0224,C031,Neha Patel,2025-12-30,Grocery,Rice,5,100,500,Credit Card,Mumbai
T0225,C031,Neha Patel,2026-02-28,Home,Mixer,5,40,200,Credit Card,Mumbai
T0226,C031,Neha Patel,2026-01-11,Home,Mixer,2,40,80,UPI,Mumbai
T0227,C032,Karan Patel,2025-09-07,Clothing,Jeans,1,30,30,Credit Card,Pune
T0228,C032,Karan Patel,2025-10-04,Beauty,Shampoo,1,20,20,Debit Card,Pune
T0229,C032,Karan Patel,2026-03-31,Home,Mixer,2,40,80,UPI,Pune
T0230,C032,Karan Patel,2025-02-15,Electronics,Headphones,1,150,150,Credit Card,Pune
T0231,C032,Karan Patel,2025-09-01,Clothing,T-Shirt,1,20,20,Credit Card,Pune
T0232,C032,Karan Patel,2025-05-26,Beauty,Face Wash,5,500,2500,Cash,Pune
T0233,C033,Ishita Patel,2025-06-28,Home,Mixer,1,75,75,UPI,Delhi
T0234,C033,Ishita Patel,2026-05-05,Home,Bottle,4,150,600,Cash,Delhi
T0235,C033,Ishita Patel,2025-03-24,Beauty,Face Wash,2,30,60,Debit Card,Delhi
T0236,C033,Ishita Patel,2025-08-26,Electronics,Mouse,3,75,225,UPI,Delhi
T0237,C033,Ishita Patel,2025-09-30,Home,Mixer,5,75,375,Debit Card,Delhi
T0238,C033,Ishita Patel,2025-08-11,Electronics,Headphones,1,40,40,Debit Card,Delhi
T0239,C034,Meera Patel,2025-08-30,Clothing,T-Shirt,3,50,150,Cash,Bengaluru
T0240,C034,Meera Patel,2025-12-03,Home,Bottle,4,300,1200,Cash,Bengaluru
T0241,C034,Meera Patel,2026-04-29,Home,Bottle,1,150,150,Credit Card,Bengaluru
T0242,C034,Meera Patel,2025-11-12,Clothing,Jeans,5,500,2500,UPI,Bengaluru
T0243,C034,Meera Patel,2025-06-25,Clothing,T-Shirt,1,30,30,UPI,Bengaluru
T0244,C034,Meera Patel,2025-06-15,Grocery,Rice,1,20,20,UPI,Bengaluru
T0245,C035,Kabir Patel,2025-05-22,Electronics,Headphones,1,20,20,UPI,Hyderabad
T0246,C035,Kabir Patel,2026-01-08,Clothing,T-Shirt,4,30,120,Credit Card,Hyderabad
T0247,C035,Kabir Patel,2025-07-30,Clothing,T-Shirt,1,20,20,UPI,Hyderabad
T0248,C035,Kabir Patel,2025-10-22,Beauty,Face Wash,2,30,60,Credit Card,Hyderabad
T0249,C035,Kabir Patel,2025-10-29,Grocery,Tea,4,75,300,UPI,Hyderabad
T0250,C035,Kabir Patel,2025-12-26,Grocery,Tea,1,100,100,Debit Card,Hyderabad
T0251,C036,Sanya Patel,2026-05-31,Beauty,Shampoo,5,20,100,Cash,Chennai
T0252,C036,Sanya Patel,2025-02-01,Beauty,Face Wash,3,200,600,UPI,Chennai
T0253,C036,Sanya Patel,2025-08-10,Electronics,Headphones,3,40,120,Cash,Chennai
T0254,C036,Sanya Patel,2025-01-02,Home,Bottle,3,20,60,UPI,Chennai
T0255,C036,Sanya Patel,2025-12-23,Beauty,Face Wash,4,40,160,Cash,Chennai
T0256,C036,Sanya Patel,2025-12-22,Home,Mixer,5,40,200,Debit Card,Chennai
T0257,C037,Riya Patel,2025-08-08,Clothing,Jeans,2,30,60,UPI,Kolkata
T0258,C037,Riya Patel,2026-05-18,Home,Bottle,3,100,300,UPI,Kolkata
T0259,C037,Riya Patel,2026-02-15,Beauty,Face Wash,4,20,80,Debit Card,Kolkata
T0260,C037,Riya Patel,2025-07-31,Grocery,Tea,4,300,1200,Credit Card,Kolkata
T0261,C037,Riya Patel,2026-01-24,Clothing,Jeans,2,300,600,UPI,Kolkata
T0262,C037,Riya Patel,2025-12-23,Home,Mixer,5,40,200,Cash,Kolkata
T0263,C038,Aditi Patel,2025-11-28,Clothing,Jeans,4,75,300,Credit Card,Ahmedabad
T0264,C038,Aditi Patel,2025-05-10,Grocery,Tea,2,300,600,Credit Card,Ahmedabad
T0265,C038,Aditi Patel,2025-10-01,Grocery,Rice,2,50,100,Debit Card,Ahmedabad
T0266,C038,Aditi Patel,2026-06-19,Grocery,Rice,2,100,200,Credit Card,Ahmedabad
T0267,C038,Aditi Patel,2025-09-22,Electronics,Mouse,1,50,50,Cash,Ahmedabad
T0268,C038,Aditi Patel,2025-06-04,Clothing,Jeans,3,150,450,Debit Card,Ahmedabad
T0269,C039,Yash Patel,2025-07-20,Electronics,Headphones,1,75,75,Credit Card,Surat
T0270,C039,Yash Patel,2026-02-02,Beauty,Face Wash,1,150,150,Cash,Surat
T0271,C039,Yash Patel,2025-08-16,Home,Mixer,4,20,80,Credit Card,Surat
T0272,C039,Yash Patel,2025-09-21,Home,Mixer,1,50,50,Cash,Surat
T0273,C039,Yash Patel,2026-03-08,Clothing,T-Shirt,2,30,60,Cash,Surat
T0274,C039,Yash Patel,2026-03-19,Grocery,Tea,1,150,150,Credit Card,Surat
T0275,C040,Nikhil Patel,2026-02-14,Clothing,Jeans,4,200,800,Cash,Jaipur
T0276,C040,Nikhil Patel,2025-01-21,Home,Mixer,5,40,200,Debit Card,Jaipur
T0277,C040,Nikhil Patel,2025-01-11,Beauty,Shampoo,1,20,20,Debit Card,Jaipur
T0278,C040,Nikhil Patel,2025-08-12,Clothing,T-Shirt,5,100,500,UPI,Jaipur
T0279,C040,Nikhil Patel,2026-04-13,Home,Bottle,4,300,1200,UPI,Jaipur
T0280,C040,Nikhil Patel,2026-01-14,Home,Mixer,4,200,800,Credit Card,Jaipur
T0281,C041,Aarav Verma,2025-07-08,Beauty,Face Wash,5,100,500,UPI,Mumbai
